// Dataset: giops_day,,,,,,
// Timestamp: 2021-02-02 00:00:00+00:00,,,,,,
Latitude,Longitude,Depth (m),Pressure,Salinity,Temperature,Sound Speed
44.81,-53.925,0.5,0.5,31.4,4.6,1464.5
44.81,-53.925,1.5,1.6,31.4,4.6,1464.5
44.81,-53.925,2.6,2.7,31.4,4.6,1464.5
44.81,-53.925,3.8,3.8,31.4,4.6,1464.5
44.81,-53.925,5.1,5.1,31.4,4.6,1464.5
44.81,-53.925,6.4,6.5,31.4,4.6,1464.6
44.81,-53.925,7.9,8,31.4,4.6,1464.6
44.81,-53.925,9.6,9.7,31.4,4.6,1464.6
44.81,-53.925,11.4,11.5,31.4,4.6,1464.6
44.81,-53.925,13.5,13.6,31.4,4.6,1464.7
44.81,-53.925,15.8,16,31.4,4.6,1464.7
44.81,-53.925,18.5,18.7,31.4,4.6,1464.8
44.81,-53.925,21.6,21.8,31.4,4.6,1464.8
44.81,-53.925,25.2,25.4,31.4,4.6,1464.9
44.81,-53.925,29.4,29.7,31.4,4.6,1465
44.81,-53.925,34.4,34.7,31.4,4.6,1465.2
44.81,-53.925,40.3,40.7,31.5,4.8,1466
44.81,-53.925,47.4,47.8,31.9,4.6,1465.8
44.81,-53.925,55.8,56.2,32.5,3.6,1462.8
44.81,-53.925,65.8,66.4,32.7,2,1455.9
44.81,-53.925,77.9,78.5,32.8,1.8,1455.5
44.81,-53.925,92.3,93.1,32.9,2.2,1457.6
44.81,-53.925,109.7,110.7,34,5.5,1473.1
44.81,-53.925,130.7,131.8,34.7,7.9,1483.9
44.81,-53.925,155.9,157.3,35,8.8,1488.2
44.81,-53.925,186.1,187.8,35.2,9,1489.4
44.81,-53.925,222.5,224.5,35.1,8,1486.5
44.81,-53.925,266,268.5,35.1,7.4,1484.8
44.81,-53.925,318.1,321.1,35.1,6.8,1483.4
44.81,-53.925,380.2,383.8,35.1,6.6,1483.6
44.81,-53.925,453.9,458.3,35.1,6.3,1483.4
44.81,-53.925,541.1,546.4,35.1,5.9,1483.5
44.81,-53.925,643.6,650,35,5.4,1483
44.81,-53.925,763.3,771.2,35,4.6,1482
44.81,-53.925,902.3,912,35,4.6,1484.2
44.81,-53.925,1062.4,1074.2,35,4.3,1485.5
44.81,-53.925,1245.3,1259.5,35,4.2,1488
